"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"a2a0cd9e2f9f346491de6408c0de0041","k__Bacteria"," p__Proteobacteria"," c__Betaproteobacteria"," o__Burkholderiales"," f__Oxalobacteraceae"," g__Massilia","s__"
"0b1d56fcd6f777ba43c709171d8297cf","k__Bacteria"," p__Proteobacteria"," c__Betaproteobacteria"," o__Burkholderiales"," f__Oxalobacteraceae","g__","s__"
"0b25b1e5f4411c57f0d715a426f12510","k__Bacteria"," p__Bacteroidetes"," c__Sphingobacteriia"," o__Sphingobacteriales"," f__Sphingobacteriaceae"," g__Sphingobacterium"," s__multivorum"
"042e1e65392b8dc11b404638592b13e6","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Moraxellaceae"," g__Acinetobacter","s__"
"c5f9da6eca223fa5441c6895e294cef7","k__Bacteria"," p__Proteobacteria"," c__Deltaproteobacteria"," o__Desulfovibrionales"," f__Desulfovibrionaceae"," g__"," s__"
"217a6bf40a60e153d506672276fa91ba","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Clostridiaceae"," g__Oxobacter"," s__"
"f06c6c5c1e457eff153f1fcc71121f16","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Microbacteriaceae","g__","s__"
"3581054982bfbedc012f091680534a0a","k__Bacteria"," p__Chloroflexi"," c__Chloroflexi"," o__[Roseiflexales]"," f__"," g__"," s__"
"d984382bb82dba2dbb57af1d2a59c2cf","k__Bacteria"," p__Chloroflexi"," c__Thermomicrobia"," o__JG30-KF-CM45"," f__"," g__"," s__"
"0341c98708ec5815965be4d578340464","k__Bacteria"," p__Bacteroidetes"," c__Cytophagia"," o__Cytophagales"," f__Cytophagaceae"," g__Pontibacter"," s__"
"74f1305441c25e99c43d5e97a4c0e7eb","k__Bacteria"," p__Proteobacteria"," c__Deltaproteobacteria"," o__Bdellovibrionales"," f__Bdellovibrionaceae"," g__Bdellovibrio"," s__bacteriovorus"
"1fd6b23de5369c76fd44841753f3d408","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhodobacterales"," f__Rhodobacteraceae"," g__Rubellimicrobium"," s__"
"871d751944b73f6bf0d80754607f9047","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Enterobacteriales"," f__Enterobacteriaceae"," g__Proteus"," s__"
"12f3c70b4da7a4da1c147c3ea507b4bd","k__Bacteria"," p__Bacteroidetes"," c__[Saprospirae]"," o__[Saprospirales]"," f__Chitinophagaceae"," g__"," s__"
"1f671c19e77059eab03e0646c269714f","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Bacillales"," f__Staphylococcaceae"," g__Staphylococcus","s__"
"1902e79162e299e4a204761677e45857","k__Bacteria"," p__Actinobacteria"," c__Thermoleophilia"," o__Solirubrobacterales"," f__"," g__"," s__"
"a5470a4587659b5d7f06de3af2c16a96","k__Bacteria"," p__Chloroflexi"," c__"," o__"," f__"," g__"," s__"
"7d78a2f2db41ac786f03d6f2e8886ea0","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Leuconostocaceae"," g__Leuconostoc","s__"
"0d2ccc459fbfd856e5c1e87e43bb5161","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Microbacteriaceae"," g__Leucobacter"," s__"
"dce7cfec90facbb3f52c2578b078086e","k__Bacteria"," p__Proteobacteria"," c__Betaproteobacteria"," o__Burkholderiales"," f__Comamonadaceae"," g__Polaromonas"," s__"
"82da40b5cbcc3476a781b45fcab52fbe","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Xanthomonadaceae"," g__Luteimonas"," s__"
"3081fece68b0e726f56e19568ce33da8","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Legionellales"," f__Legionellaceae"," g__"," s__"
"b28b9c388da78c9ec6465926385581a4","k__Bacteria"," p__TM7"," c__TM7-3"," o__I025"," f__Rs-045"," g__"," s__"
"9e45a71d8b8751a5998f89bd5e075ae3","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Sphingomonadales"," f__Sphingomonadaceae"," g__Sphingobium"," s__"
"3fff90974500ad698778a65b3c79a979","k__Bacteria"," p__Proteobacteria"," c__Betaproteobacteria"," o__Burkholderiales"," f__Comamonadaceae","g__","s__"
"751a5ff999e5796d05f99b9699db899b","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Aerococcaceae"," g__Aerococcus"," s__"
"c7a840c92e048a0e9f370d9604868839","k__Bacteria","p__","c__","o__","f__","g__","s__"
"ed9092b22bfb25bd4c348242af7fbe62","k__Bacteria","p__","c__","o__","f__","g__","s__"
"14354994821ff2d12ee7259a08021714","k__Archaea"," p__Crenarchaeota"," c__Thaumarchaeota"," o__Nitrososphaerales"," f__Nitrososphaeraceae"," g__Candidatus Nitrososphaera"," s__"
"c2ca6ba66151883574732af3e1a196b4","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Bacillales"," f__Planococcaceae","g__","s__"
"9ad4f9a583518169f776fc968f22be52","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Moraxellaceae"," g__Acinetobacter","s__"
"858a03dbe8fb0e28aae3c7dc7fb5cff6","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Streptococcaceae"," g__"," s__"
"06bffccec63c7c698f6b5c62f0125923","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Enterobacteriales"," f__Enterobacteriaceae","g__","s__"
