"","sample.id","Original.id","Location.Sample.date","Facility","Year","Season","Production","Room","Object","Touch","Soil","Surface","Moisture","Risk","Untrimmed_reads","Trimmed_reads","APC","YM","CVTA","APC_log","CVTA_log","YM_log","keep","APC_bin"
"16","sample-69","4","B.04.2","Batavia",2022,"Fall","During","Raw","Cleaning Tools","No","Yes","Continuous","Dry","two",211937,170010,535,1250,105,2.72835378202123,2.02118929906994,3.09691001300806,TRUE,"Low"
"79","sample-343","33","WS.33.2","West Seneca",2022,"Fall","During","Post-Pasteurization ","Non-FPE Structure","No","None","Continuous","Condensate","two",126670,107990,370,300,250,2.56820172406699,2.39794000867204,2.47712125471966,TRUE,"Low"
"38","sample-191","27","NL.27.2","North Lawrence",2022,"Fall","During","Filling","Cleaning Tools","No","None","Spiked","Dry","two",204568,169445,15,0,0,1.17609125905568,0,0,TRUE,"Low"
"39","sample-199","30","NL.30.3","North Lawrence",2023,"Winter","During","Filling","Hose","No","Yes","Continuous","Dry","two",112749,93518,0,0,0,0,0,0,TRUE,"Low"
"82","sample-353","37","WS.37.3","West Seneca",2023,"Winter","During","Post-Pasteurization ","Non-FPE Structure","No","Yes","Continuous","Dry","three",106345,87423,600,0,0,2.77815125038364,0,0,TRUE,"Low"
"44","sample-208","35","NL.35.2","North Lawrence",2022,"Fall","During","Warehouse","Door","No","Yes","Continuous","Wet","three",164596,134746,65,0,0,1.81291335664286,0,0,TRUE,"Low"
"85","sample-373","44","WS.44.2","West Seneca",2022,"Fall","During","Filling","Floor Object","No","Yes","Grid","Damp","three",202451,165534,285,200,150,2.45484486000851,2.17609125905568,2.30102999566398,TRUE,"Low"
"43","sample-206","33","NL.33.3","North Lawrence",2023,"Winter","During","Filling","Door","No","Yes","Continuous","Damp","three",87600,73350,160,0,0,2.20411998265592,0,0,TRUE,"Low"
"76","sample-323","25","WS.25.2","West Seneca",2022,"Fall","During","Post-Pasteurization ","FPE Structure","No","Yes","Continuous","Dry","two",218510,183471,90,0,0,1.95424250943932,0,0,TRUE,"Low"
"55","sample-229","42","NL.42.4","North Lawrence",2023,"Spring","During","Filling","Hose","No","Yes","Continuous","Dry","two",202458,162561,240,0,0,2.38021124171161,0,0,TRUE,"Low"
"47","sample-211","37","NL.37.2","North Lawrence",2022,"Fall","During","Filling","Conveyor","No","Yes","Continuous","Dry","two",202362,167295,125,200,0,2.09691001300806,0,2.30102999566398,TRUE,"Low"
"53","sample-226","41","NL.41.4","North Lawrence",2023,"Spring","During","Filling","Conveyor","No","Yes","Continuous","Dry","two",204427,163688,520,0,0,2.7160033436348,0,0,TRUE,"Low"
"46","sample-210","36","NL.36.3","North Lawrence",2023,"Winter","During","Filling","FPE Structure","No","Yes","Continuous","Dry","two",214846,182857,760,0,0,2.88081359228079,0,0,TRUE,"Low"
"48","sample-214","38","NL.38.4","North Lawrence",2023,"Spring","During","Filling","FPE Structure","No","Yes","Continuous","Damp","two",202363,167277,1000,0,400,3,2.60205999132796,0,TRUE,"Low"
"50","sample-217","39","NL.39.4","North Lawrence",2023,"Spring","During","Filling","Conveyor","No","Yes","Continuous","Dry","two",204736,166993,360,0,0,2.55630250076729,0,0,TRUE,"Low"
"42","sample-202","32","NL.32.2","North Lawrence",2022,"Fall","During","Filling","FPE Structure","No","Yes","Continuous","Wet","two",204627,171875,980,0,0,2.99122607569249,0,0,TRUE,"Low"
"63","sample-278","E21","NL.E21.4","North Lawrence",2023,"Spring","During","Filling","Conveyor","No","","Continuous","Dry","two",202612,163287,0,400,0,0,0,2.60205999132796,TRUE,"Low"
"1","sample-5","10","B.10.3","Batavia",2023,"Winter","During","Raw","Cleaning Tools","No","Yes","Continuous","Dry","three",218649,187882,0,0,37200,0,4.5705429398819,0,TRUE,"Low"
"28","sample-120","E4","NL.E4.3","North Lawrence",2023,"Winter","During","Filling","Non-FPE Structure","No","No","Continuous","Dry","three",159323,129569,160,0,0,2.20411998265592,0,0,TRUE,"Low"
"21","sample-90","E7","B.E7.4","Batavia",2023,"Spring","During","Warehouse","Non-FPE Structure","No","Yes","Continuous","Dry","three",206695,157882,160,800,0,2.20411998265592,0,2.90308998699194,TRUE,"Low"
"89","sample-383","47","WS.47.3","West Seneca",2023,"Winter","During","Warehouse","Door","No","Yes","Continuous","Dry","three",203656,175712,960,400,0,2.98227123303957,0,2.60205999132796,TRUE,"Low"
"95","sample-403","7","WS.07.3","West Seneca",2023,"Winter","During","Warehouse","Door","No","Yes","Continuous","Dry","three",206157,172034,360,0,0,2.55630250076729,0,0,TRUE,"Low"
"36","sample-183","23","NL.23.4","North Lawrence",2023,"Spring","During","Filling","Drain","No","None","Perforated","Wet","three",202398,166536,0,400,0,0,0,2.60205999132796,TRUE,"Low"
"6","sample-30","2","B.02.3","Batavia",2023,"Winter","During","Raw","Hose","No","Yes","Continuous","Damp","two",200261,162994,760,0,14000,2.88081359228079,4.14612803567824,0,TRUE,"Low"
"9","sample-45","26","B.26.3","Batavia",2023,"Winter","During","Warehouse","Door","No","Yes","Continuous","Dry","three",205590,169013,160,0,4800,2.20411998265592,3.68124123737559,0,TRUE,"Low"
