"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"de45777fd28f45ba2fd20eefd19b7953","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Oceanospirillales"," f__Halomonadaceae"," g__Halomonas"," s__"
"e0c35f11b942ec7af031503af598fef5","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Bacillales"," f__Paenibacillaceae"," g__Paenibacillus"," s__lautus"
"40bce14aa26f6571866c7addce25cc3c","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Xanthomonadaceae"," g__Stenotrophomonas","s__"
"2c39d8c7499c58dc93338d8f06fc0f25","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Moraxellaceae"," g__Psychrobacter"," s__"
"95cbd75a613373965253fac9317f5036","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Enterobacteriales"," f__Enterobacteriaceae","g__","s__"
"fdc1a7c3ebe3c43c9205147181cadf6b","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Corynebacteriaceae"," g__Corynebacterium"," s__"
"9300db289cebdb4cc04575bc98c155c6","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Xanthomonadaceae"," g__Luteimonas"," s__"
"f8efc71766d2af165b3da652878b6c2b","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Aeromonadales"," f__Aeromonadaceae","g__","s__"
"b53719f20e95b78fff3426c29d04562f","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Enterobacteriales"," f__Enterobacteriaceae","g__","s__"
"c7dd9f215414791daee74e1cb5acc021","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Enterobacteriales"," f__Enterobacteriaceae"," g__Gluconacetobacter"," s__"
"2c43596c741c1507b53f1392baf37a4d","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Sphingomonadales"," f__Sphingomonadaceae"," g__Sphingomonas"," s__echinoides"
"50e40227acafdc09e939ee374c4d879c","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Enterococcaceae"," g__Vagococcus"," s__"
"aec519f798f5083b49feb9daea1ac368","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Sphingomonadales"," f__Sphingomonadaceae"," g__Sphingomonas","s__"
"fdb44ff8c365a4d1946150ba85589cee","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Streptococcaceae"," g__Lactococcus"," s__"
